Lista_Aleatoria,Lista_80_Ordenada,Lista_Decrescente
23826,1709,98083
98529,1720,98077
32662,1720,98058
86169,1728,98054
18720,1743,98048
85980,1767,98047
34083,1770,98046
86453,68737,98045
36601,1783,98031
5906,1805,98020
31336,88669,98015
5986,1827,98011
96468,1836,98000
74864,1838,97981
8726,1866,97976
68720,1867,97975
57499,1867,97974
74281,1882,97970
83127,1907,97945
83626,1922,97917
81181,28679,97911
6081,1930,97906
97054,1941,97897
65387,1951,97881
38736,1951,97867
24369,1987,97857
57880,1993,97854
84611,60113,97842
77352,2019,97835
57726,2025,97832
28775,62379,97812
88258,2046,97802
75126,57541,97802
47007,2056,97795
93122,2064,97784
38956,2082,97784
21709,2100,97780
58692,2105,97768
96745,2121,97766
79264,2129,97755
73161,2137,97734
61521,2143,97720
68081,2144,97717
12224,53885,97716
44386,2188,97662
76159,77141,97658
51702,2193,97646
95509,2200,97645
33957,2205,97643
58459,2205,97618
6949,2213,97617
12662,2225,97610
65233,2229,97609
70724,2240,97601
4652,2245,97580
56151,15525,97579
74933,2249,97574
11753,2272,97566
17948,2292,97557
38174,2299,97554
15335,2307,97550
27853,2322,97539
22987,2322,97538
17420,2328,97536
10059,2341,97533
4403,2348,97533
59915,2351,97532
19022,2361,97524
66473,2368,97522
72133,2395,97519
2766,2396,97511
64190,2404,97507
93696,2450,97486
36447,2461,97485
33837,18386,97465
69979,8763,97452
44577,2511,97445
71566,2526,97441
51085,2528,97435
96366,2530,97431
39916,2542,97427
98885,2549,97414
50128,2559,97387
36758,2563,97384
30978,18490,97356
14047,2574,97353
97635,73977,97352
43451,2591,97336
55506,81945,97326
93551,47937,97314
77668,2604,97301
29710,2636,97295
14923,2637,97295
79928,99649,97287
42750,2659,97278
44850,2660,97276
38878,2677,97275
31984,2697,97269
89667,60328,97258
37199,2722,97256
46891,2751,97235
76070,2753,97211
41770,2756,97208
48271,2758,97202
43458,2760,97186
31372,2778,97179
27200,28755,97177
61221,2789,97107
41513,2797,97095
74904,2798,97095
54424,2808,97069
28250,70053,97050
80871,45508,97044
66491,2832,97033
84702,2843,97022
41547,2850,97020
91710,15165,97016
36101,2859,96995
61483,99928,96987
7236,17528,96984
76024,2881,96970
73623,2883,96969
40339,2884,96954
52290,2924,96950
32382,2925,96947
13545,2936,96928
70446,2936,96928
26986,2973,96920
68115,2976,96914
20157,2989,96909
18756,2997,96855
14612,3011,96854
84345,72750,96853
40689,3043,96847
69447,3047,96842
96187,3052,96838
83218,3054,96808
27151,3064,96795
16546,76270,96779
95569,3074,96774
8065,3076,96765
56432,3084,96758
65694,3086,96746
70939,3117,96746
11171,3123,96745
99413,3127,96720
76242,3129,96719
33744,3130,96717
35612,3135,96713
3875,3138,96705
48971,3140,96698
17289,3144,96691
3114,66476,96691
79478,3169,96691
40396,3169,96675
83377,3180,96658
81120,3181,96655
90233,3185,96650
27655,3191,96650
15440,3204,96645
46011,3236,96644
59813,89237,96621
90427,3241,96618
44154,3251,96614
86514,3258,96613
24549,3268,96590
68209,3279,96581
68177,54996,96578
99893,76785,96576
53235,3295,96575
92449,3298,96561
79303,3307,96555
24146,3310,96528
2184,3310,96525
84324,3326,96520
99938,3347,96505
56956,3372,96505
67183,3382,96495
87333,3383,96483
63982,3391,96474
37213,45726,96451
89726,3408,96448
67426,3417,96441
76640,3418,96440
35184,3419,96440
47662,8936,96405
87997,3440,96399
24653,3456,96391
17360,3462,96389
44879,3463,96368
16210,50213,96363
12314,57519,96351
2842,3487,96346
13457,3505,96335
38134,3522,96329
43468,3534,96319
86822,3542,96302
92247,3550,96300
49179,3551,96291
11810,20349,96290
42072,3564,96271
48828,3595,96268
73881,3609,96266
22169,3654,96264
3639,3675,96256
16643,3676,96251
82147,3694,96227
62300,3704,96214
48170,3710,96213
78418,3717,96180
65375,3739,96156
83427,3747,96147
41995,3753,96144
53439,3755,96143
16544,3755,96117
55544,3761,96115
79876,3788,96112
15325,35844,96110
41588,3799,96090
70879,37847,96071
98965,3805,96063
76413,3812,96058
83537,3827,96049
63533,3828,96026
18710,9344,96021
23780,3838,96020
38535,3851,96016
54753,3851,96005
82913,3869,96002
42867,3876,95972
82954,58087,95969
3600,3934,95967
17570,3934,95964
3317,3936,95958
67165,3952,95952
60268,3958,95947
15921,3961,95945
49,3968,95937
86462,1225,95931
32423,3971,95928
16860,3985,95920
45403,4006,95916
68791,4017,95911
21604,4024,95907
71134,4031,95896
28797,72947,95894
79141,4043,95881
86666,4077,95873
60325,4082,95859
85246,4089,95828
18446,61418,95827
25192,4124,95824
8351,24557,95788
50422,4129,95785
27825,4132,95778
83799,98772,95768
63722,4143,95759
53909,4148,95748
90844,4172,95733
80623,4185,95731
22663,4190,95721
26171,85204,95720
47994,4202,95716
7682,4220,95712
65017,4222,95676
6795,4224,95671
70403,36133,95665
4289,4245,95648
69990,4247,95642
78272,4254,95630
32996,4264,95587
24320,4264,95581
99273,4284,95581
16121,4301,95563
84236,4303,95555
42829,4306,95535
38042,4321,95533
56034,4352,95531
24473,4371,95531
58753,4375,95525
91415,4382,95515
38887,4383,95509
98210,4384,95501
95587,4388,95489
1172,97534,95482
62276,4413,95470
15238,4430,95469
44521,4431,95461
62294,4437,95420
19717,4453,95412
36378,4467,95407
78332,4473,95404
34977,4473,95402
81663,4474,95394
49851,4475,95374
93961,4479,95364
58857,4480,95337
16423,4493,95325
60769,4506,95314
95296,4522,95307
28103,68335,95305
29683,4526,95272
1028,4530,95271
23407,60203,95269
79657,8326,95257
53370,4570,95226
60948,35240,95212
89287,4587,95208
72701,4591,95206
65147,4605,95199
44663,4608,95167
98711,4608,95166
32999,4611,95159
66408,4614,95134
91104,4618,95130
61439,4633,95120
51068,4635,95099
91283,4638,95080
17995,4641,95077
64563,4642,95052
89325,17009,95019
7304,4657,94977
21527,4695,94960
19156,14993,94943
26481,4697,94942
9274,27589,94935
70041,34313,94935
93507,4706,94904
11648,4712,94883
53799,4720,94873
35874,4740,94866
63321,4749,94857
86585,4750,94849
10215,4766,94849
10532,81984,94826
37108,89865,94813
84945,4791,94798
29757,37119,94781
81601,4804,94780
23550,4823,94761
61675,4838,94746
97064,4851,94738
3502,4855,94709
58187,4856,94680
73381,63292,94661
96199,4862,94660
32701,4863,94659
42068,4868,94644
54982,4871,94628
42273,4874,94611
73722,4887,94603
6889,4900,94601
34487,4927,94596
34584,4932,94544
21441,4934,94535
71494,67895,94522
83974,4944,94514
31998,4955,94495
1426,4959,94491
24037,80588,94465
93473,34312,94441
14460,5025,94427
49349,5027,94414
67370,5029,94412
69733,5033,94407
86340,5034,94392
30074,5035,94391
45152,5041,94359
47614,5053,94358
7886,5077,94350
19059,5086,94342
98843,28004,94337
15771,5095,94331
61004,5102,94327
50994,5120,94324
14457,5121,94314
56717,11195,94313
82893,5137,94309
47135,5144,94304
68574,5148,94298
69123,57018,94284
29690,5156,94265
56004,5166,94263
85315,5170,94249
78835,5171,94228
73031,5175,94226
31192,5175,94218
69238,5177,94216
19989,5180,94214
20722,5193,94202
11989,5207,94201
60253,5230,94193
74917,5235,94180
73775,5256,94162
27693,5325,94162
95755,5326,94162
99509,28568,94141
29377,5339,94131
86857,44802,94122
34249,5373,94095
84520,97880,94091
21611,27188,94083
5853,5396,94034
52865,5397,93961
67358,5408,93954
51743,5421,93946
32684,5432,93923
88255,5434,93920
7833,5449,93903
83530,5462,93893
85661,5477,93889
48868,5493,93889
93381,60051,93883
85278,35276,93883
96139,5529,93869
65751,5533,93851
61257,5548,93823
95254,5551,93819
6624,5558,93810
97512,5560,93804
13486,5567,93787
26117,5582,93786
71941,5596,93782
3550,5602,93780
74095,5658,93773
53068,48025,93762
57501,5691,93738
35306,5693,93731
16734,5696,93729
55885,5707,93716
42014,5726,93698
22485,28370,93695
25949,15661,93674
25465,5740,93643
14801,14982,93639
98205,5748,93623
74302,5775,93621
25872,90854,93619
35663,5800,93618
8712,5849,93599
58374,5852,93588
42862,5856,93584
90981,38043,93577
20691,5880,93569
15029,5882,93554
4706,5884,93553
7905,72673,93551
5009,5919,93523
62190,5921,93501
77236,5926,93491
85191,5928,93491
10500,5935,93478
2227,5938,93477
52971,5940,93464
24085,10316,93427
39217,90420,93393
19736,5966,93375
71421,6003,93364
9735,6036,93360
93664,6039,93359
57845,6041,93355
60745,6074,93355
77379,6081,93354
61296,6089,93337
83175,6090,93332
44825,6097,93315
27998,6099,93313
82817,6105,93302
22951,6116,93299
80297,6126,93298
40697,6131,93296
59462,79442,93278
92363,6177,93277
29210,6192,93272
49223,6203,93268
673,6211,93261
19485,67776,93258
67396,6220,93244
73399,6236,93240
31193,6243,93227
28191,6251,93220
16456,6257,93203
25585,814,93194
862,6272,93188
58434,6293,93168
98568,96678,93153
63215,42143,93142
38887,6307,93141
93122,6317,93133
10383,6318,93131
30088,6334,93115
2475,6336,93110
86291,6342,93109
77411,6367,93085
97952,6428,93071
56945,82043,93070
33686,31480,93056
41558,6459,93047
24180,6464,93039
16172,6478,93038
62315,6491,93036
88111,6501,93033
47820,6503,93030
83630,6504,93029
86824,6526,93028
57980,6528,93006
66661,6531,93004
79176,6539,92991
65845,6544,92987
19141,6545,92975
45156,6579,92965
81102,6583,92956
76164,6604,92952
27928,6618,92950
30370,95261,92939
52960,6639,92938
57064,6648,92932
15943,6649,92930
97381,6665,92925
97461,6682,92924
43932,6684,92905
879,6684,92905
26162,6693,92901
62219,73073,92884
92567,6712,92882
73498,6718,92880
64603,6727,92877
17233,6730,92870
88008,94620,92861
17010,50232,92859
43866,6735,92858
78911,6736,92850
8716,30679,92848
45248,6760,92832
78806,98609,92811
16399,6779,92804
10561,6780,92804
7817,28525,92798
11605,6840,92785
90904,30431,92785
91668,6858,92774
37933,6870,92767
28065,24246,92755
16173,6888,92733
70330,6888,92729
44618,6889,92728
54692,6896,92719
23097,6905,92693
72503,6912,92689
17086,6920,92681
33037,6924,92674
66843,6932,92655
22187,6940,92654
96647,6947,92641
60842,6951,92628
55980,6968,92618
97899,6973,92580
65661,17838,92567
36247,6984,92562
61779,7012,92550
27548,7058,92549
19313,17634,92548
15489,7069,92545
17400,7082,92525
1798,7102,92521
30830,7112,92520
448,7127,92517
17409,7129,92516
34026,7148,92514
51090,7153,92502
85194,24187,92485
96183,68879,92468
91417,32886,92468
34348,31658,92460
25826,7166,92457
4817,7189,92449
56877,7197,92446
14077,7198,92437
67935,7199,92436
50934,7215,92424
56746,7234,92421
48891,84622,92414
38227,7245,92406
52968,7257,92387
10865,7268,92380
97782,7286,92347
10027,7299,92335
24125,7300,92324
74710,72691,92323
24027,7323,92304
71709,7328,92301
23458,7338,92282
49589,7343,92272
67489,6733,92238
26186,7349,92233
4272,7375,92226
72370,7396,92220
78016,88100,92210
65249,51087,92197
8721,7436,92194
64060,7442,92193
60877,42908,92179
55209,7447,92144
44273,7474,92137
26811,97663,92133
56591,7488,92120
76635,7549,92112
94047,7566,92111
53800,7594,92106
67593,25525,92097
16876,71526,92096
41986,7625,92092
16876,7634,92080
80319,7644,92078
29563,7651,92073
34887,7654,92055
92710,7657,92044
78007,7661,92041
15093,7661,92032
6261,7663,92029
30925,7665,92024
69821,7673,92009
66414,7689,92001
12673,7690,92000
40432,7693,91985
55132,7698,91966
1447,7712,91948
28254,7714,91938
9258,7717,91924
75641,18578,91901
70506,38360,91894
22536,7760,91893
32685,7775,91892
32085,95188,91843
11288,20825,91840
50881,7798,91817
54679,7815,91814
34087,7824,91774
87567,7825,91761
21254,2656,91752
99792,7844,91752
99020,7844,91721
33479,8063,91714
81130,7865,91711
74728,68403,91708
63985,7870,91700
5144,7877,91698
8941,37520,91669
14004,71327,91656
30465,7916,91636
38140,7917,91630
90257,7918,91627
11265,99051,91620
30109,7955,91614
43602,7967,91594
92727,7974,91587
69789,7993,91567
53859,7995,91559
56354,8013,91558
74169,8036,91543
6197,8040,91515
35314,73393,91514
59211,6302,91480
41201,8076,91476
50313,8081,91468
49984,8095,91468
10468,89954,91461
32228,8148,91450
48600,8163,91449
29382,85058,91448
26232,8204,91418
56992,19471,91376
9364,8215,91358
16350,8251,91345
62915,8258,91337
12613,8261,91321
85792,8263,91255
24829,8280,91248
79617,8312,91235
93620,8321,91234
32451,98997,91217
83649,76210,91203
89670,8328,91196
76301,8332,91189
8440,8348,91187
66996,39069,91181
90126,8356,91162
90972,39072,91144
74535,8374,91136
89098,8383,91126
46347,67297,91124
52752,8385,91123
24429,8423,91122
53632,63451,91119
44316,8453,91106
77095,8456,91106
99000,8456,91088
48500,8467,91078
77408,8479,91063
17016,8487,91057
84130,91966,91055
34986,8494,91053
32403,8501,91051
1711,8513,91048
45811,8513,91035
1600,54069,91029
44275,8529,91022
56150,2,91021
5523,8539,91003
4238,8543,90993
1312,53442,90993
95352,56220,90990
54678,25978,90985
58919,66973,90983
67201,8593,90979
25208,67332,90955
1903,8625,90949
60882,8640,90925
18038,8644,90925
31182,8645,90924
35043,8666,90916
52414,8671,90915
4500,8675,90912
43051,8677,90907
14031,8697,90884
2006,8736,90866
93184,8752,90852
84413,8759,90849
84376,1656,90839
31559,8765,90826
31122,8768,90821
95541,8785,90819
56265,8796,90794
7039,8807,90793
31485,8825,90780
96180,8826,90768
66549,8827,90767
90404,8849,90760
81872,8853,90753
84360,8859,90745
1747,8891,90744
40178,8915,90737
55285,8918,90730
43535,8929,90721
68254,4031,90707
50945,8944,90699
91103,8948,90663
19162,98259,90637
11056,8961,90627
72658,8965,90627
91971,8983,90623
49117,8985,90620
37608,9004,90619
5449,9016,90606
94886,9025,90600
59389,9032,90591
91589,16233,90568
38175,9064,90567
1581,9101,90555
17692,9107,90547
97541,9115,90516
56281,9124,90514
53668,9127,90514
54796,9127,90509
92290,40315,90507
69159,96896,90490
34048,9152,90462
90871,17933,90450
60464,9169,90445
86750,9174,90439
91367,9185,90427
63425,9193,90419
31299,9198,90402
17069,40250,90393
4457,9206,90390
98811,9217,90383
23461,91168,90379
11039,9261,90377
17602,9270,90372
80847,9285,90362
59587,28267,90357
80626,69548,90344
86590,9332,90330
77508,9338,90327
11025,9340,90326
18108,27465,90316
5082,9374,90315
10494,9380,90274
30370,9381,90270
67835,36007,90252
97410,9399,90246
72695,9399,90228
73884,9410,90225
6693,74557,90224
51303,9445,90219
62564,9468,90215
99804,9484,90204
5523,9495,90203
70489,9523,90194
24763,9532,90188
99381,9542,90161
34398,9547,90159
38811,9563,90148
11042,9563,90133
62474,9564,90116
81340,9571,90100
17154,89975,90072
27332,47896,90069
85887,9603,90065
25411,93997,90056
12284,9612,90055
3584,9613,90054
71460,9629,90051
50131,9630,90041
61389,98015,90021
7450,9649,89967
68259,9665,89960
75946,9671,89955
24847,9685,89939
58683,9693,89926
24724,9711,89922
30925,9726,89914
68143,9728,89893
66487,9728,89890
30142,42768,89869
98154,9740,89838
79028,12828,89836
75159,9743,89813
33048,54076,89806
21982,9757,89804
4037,37843,89799
70367,9785,89796
67104,9791,89792
26428,32645,89784
90315,38183,89780
49197,9826,89769
94812,9832,89756
82536,9845,89749
42503,39697,89727
45877,9867,89696
29267,65082,89693
14376,9904,89677
25928,9941,89676
28206,49557,89670
75858,9979,89660
26951,9987,89636
3602,9998,89633
3988,10044,89612
112,74390,89603
39270,10061,89600
155,96786,89552
26919,10067,89540
63008,59272,89538
8832,10087,89523
51199,10097,89499
76501,10098,89498
727,10140,89487
73831,86274,89482
84267,10174,89479
88216,10177,89445
59326,10194,89443
90639,10194,89437
13849,10198,89406
20782,10207,89397
29749,10211,89391
67826,83433,89381
79234,10252,89375
10055,10259,89364
97412,5736,89355
66550,86440,89350
51459,10291,89346
88366,32257,89338
52337,10335,89336
91182,10351,89334
85097,10351,89331
29214,10356,89323
54908,10356,89314
69728,93722,89312
67612,10361,89305
79009,10369,89303
95931,90167,89291
71587,10380,89282
9556,96685,89258
64042,38344,89247
40709,10409,89247
41445,10410,89243
94149,10415,89238
9868,10427,89237
87688,9739,89226
97474,10428,89216
26384,94166,89206
91343,10441,89198
89724,10448,89193
85807,18219,89190
27284,10460,89184
45015,10463,89176
19551,10472,89150
18715,10487,89141
86003,7778,89139
97779,10512,89134
20340,10518,89130
58910,28231,89125
53191,10583,89124
81045,10589,89121
17454,10591,89098
10456,10592,89083
42146,3801,89078
194,3402,89078
19742,10600,89069
47072,48595,89061
96888,10660,89057
19839,4705,89053
29275,10687,89047
36594,10689,89033
48418,10694,89023
62226,10696,89023
37941,10705,89005
93021,10739,89002
45840,10741,88998
64448,10750,88987
49281,10764,88976
30911,67728,88971
12884,10773,88971
65801,10774,88948
31353,10781,88933
31797,10781,88917
92448,10785,88899
95289,10818,88898
7403,10831,88898
78725,10832,88875
974,10842,88873
31899,10850,88872
14210,86867,88872
53126,10852,88865
38070,10865,88860
20254,10876,88848
69816,10886,88843
25994,10893,88831
5400,26971,88819
96499,10901,88818
23282,18274,88815
72603,10915,88814
48053,10923,88810
82794,10924,88805
395,10942,88800
89597,42129,88787
56921,10970,88786
29572,10970,88779
33205,10975,88769
31322,10980,88766
15194,11000,88763
29273,11004,88761
64290,11016,88748
68447,11028,88744
78002,11033,88721
83917,11043,88708
15684,11066,88701
86190,11085,88679
58903,11109,88675
94666,62278,88662
17066,11118,88653
74329,61626,88648
69037,11137,88607
84771,11140,88573
78249,11171,88571
97904,11181,88565
82131,11189,88552
16658,17589,88544
96385,11203,88541
50491,60747,88537
37503,11212,88532
99241,11234,88531
91835,7600,88521
68270,11269,88516
85032,11295,88511
59119,11297,88505
25665,67710,88498
39563,11311,88477
59435,11352,88461
72558,11357,88459
87910,18376,88433
45977,11363,88421
32341,11369,88415
2519,11385,88408
3076,11387,88408
15423,11393,88381
1713,11400,88378
58611,11405,88362
15580,4586,88350
8194,78980,88321
88977,11433,88306
87123,11466,88302
19337,11477,88285
3427,94565,88246
61402,7787,88241
74842,11489,88234
91043,11490,88226
4774,11512,88225
82377,81331,88224
24577,11559,88222
40213,11566,88220
31230,11569,88218
33023,25707,88191
74701,11594,88172
17765,11594,88166
85067,26374,88155
60369,27772,88132
94030,11616,88132
22017,11622,88100
42850,11634,88096
68731,11644,88090
99797,11649,88087
8380,11651,88085
959,11653,88077
25073,89972,88076
1481,11676,88063
19713,11688,88059
30387,11688,88043
85949,19388,88041
75770,11709,88006
53913,11716,88003
69610,2496,87993
27641,11734,87993
74548,11735,87979
32566,11740,87979
27003,11741,87978
83083,11742,87955
74430,11759,87952
12329,11764,87944
78072,11764,87944
10638,14707,87941
16194,11775,87935
95467,11785,87916
43280,11787,87899
73969,11791,87892
10281,31044,87882
47386,11797,87870
43126,11799,87870
77542,86705,87868
23387,11819,87865
60934,11826,87859
81940,11827,87857
74346,11829,87826
33863,11833,87818
86694,11833,87818
7536,11843,87803
63002,11916,87774
81418,11934,87752
92558,11943,87718
91087,4767,87715
95973,11972,87714
62847,11998,87702
84312,12002,87699
78947,12010,87694
87156,12046,87679
29200,12047,87672
25351,12048,87654
44245,12063,87653
91480,12065,87637
91234,12069,87624
79739,4195,87598
3609,12079,87597
75386,12080,87583
72906,12083,87573
22441,12100,87560
55705,12122,87543
68279,97063,87537
51406,12126,87480
40056,44068,87477
66368,12166,87476
47752,12169,87470
43427,77879,87469
56169,12189,87466
20181,12204,87455
60047,12207,87445
73126,12220,87439
56547,12228,87434
52142,12229,87408
25730,12234,87404
28121,12253,87379
69876,12284,87356
98172,12285,87347
33026,33739,87334
64588,12299,87332
5360,12309,87329
91710,12342,87308
6902,12343,87298
60371,12344,87290
74708,59075,87265
86441,12350,87223
73619,23457,87220
38305,12360,87210
11249,12368,87196
56175,12387,87188
30648,12397,87182
59271,12397,87177
7799,12403,87174
56130,5383,87165
68235,12418,87164
2110,27600,87158
3281,12451,87154
69120,12452,87151
42940,12454,87151
97875,12457,87143
30951,12462,87143
35424,12497,87141
75545,12500,87134
99957,69588,87122
65169,56593,87089
18683,12521,87079
45115,12522,87076
17549,12541,87064
21233,12555,87050
34324,66770,87049
61232,12569,87033
36048,12572,87015
64805,12588,87002
91340,12589,87002
9686,12610,86973
18779,12614,86972
66850,12626,86963
24650,12628,86956
85393,12628,86950
99262,85277,86950
92357,43273,86948
12250,12656,86945
11907,12664,86905
65959,12673,86903
14006,12678,86900
97436,26924,86890
50844,12693,86879
60249,5964,86876
84432,12699,86876
42812,12703,86864
23095,12709,86859
51704,12711,86858
79764,12717,86845
14415,12504,86841
75697,12742,86835
20712,12747,86833
98654,12752,86814
74432,12753,86809
20096,12753,86797
82865,12754,86783
48743,12756,86777
9613,12766,86774
9292,12781,86770
46365,12789,86755
47739,12797,86721
88890,12797,86720
65468,12801,86682
28920,71731,86676
12324,12835,86661
14420,12842,86659
4096,70861,86655
50549,12857,86635
30904,12879,86635
3292,12882,86632
18059,12894,86616
26001,64820,86605
22769,12903,86601
17350,20038,86592
95202,12916,86578
96948,12917,86565
42986,12944,86564
9683,12957,86551
9342,41625,86527
55336,12960,86524
19197,12975,86518
46622,12982,86514
60193,12985,86512
28314,12993,86506
63026,12993,86473
34441,12994,86470
84065,12996,86466
76411,12997,86444
85769,13010,86442
29882,13019,86437
20200,13042,86434
41662,13069,86430
32714,13071,86425
11521,13073,86422
13670,13085,86420
23649,13096,86373
71504,13104,86364
87137,13109,86353
56289,13120,86351
29095,13133,86351
24884,13167,86349
21751,13174,86317
69258,13176,86316
80782,13183,86304
74916,13184,86283
39793,13193,86275
44311,13209,86241
88579,13213,86232
26377,13244,86224
60381,13279,86193
38254,59901,86187
59669,13292,86157
14388,13292,86118
23520,13299,86083
45217,13305,86061
98989,13317,86051
66863,13329,86032
23733,13339,86023
42630,13342,86021
67875,13343,86015
1815,13353,86006
91979,13357,86006
78693,13360,85998
87860,1811,85978
60870,80308,85935
41369,7910,85929
17567,13378,85917
93535,13409,85916
37243,13411,85896
7498,13414,85893
42849,13451,85886
49018,13455,85876
29050,13461,85819
35132,13462,85808
87389,13466,85801
27068,13471,85796
99687,82052,85789
87209,13497,85780
73822,13542,85766
59233,13568,85764
34757,13573,85731
83881,13585,85721
5410,13601,85714
20315,13609,85708
79809,13612,85689
55190,13637,85682
27046,13645,85663
45519,13650,85659
54977,13654,85639
16592,13666,85636
43260,26447,85622
26830,13697,85602
85386,13711,85601
66163,13715,85592
85747,13720,85588
96309,13730,85586
40213,98208,85584
27558,13740,85581
4738,13741,85575
94563,13754,85569
41675,65921,85557
83496,23606,85555
41743,13799,85555
12892,92147,85546
91776,13836,85530
23087,13838,85523
49503,13843,85490
61735,13852,85478
13590,13854,85467
61372,39015,85465
46029,13879,85458
14670,54840,85448
68212,13887,85447
85086,58548,85441
97540,32955,85394
67405,13926,85392
99888,13943,85387
44072,60584,85384
40037,13954,85380
75964,13960,85363
50175,13961,85362
64458,3438,85361
3788,57894,85352
99009,13986,85350
96865,14001,85347
95498,25501,85340
93294,14031,85337
11155,14058,85318
6473,14069,85313
90663,14072,85312
89715,14089,85298
10398,14093,85265
89175,14110,85242
24755,14116,85238
75990,14133,85238
80020,53784,85227
45916,14151,85211
17080,14152,85211
380,72547,85196
84045,14174,85176
20517,14185,85161
66466,14185,85157
4719,14195,85153
99482,14205,85139
94543,14209,85133
48692,8064,85098
90120,14222,85096
91263,14229,85089
44742,14245,85076
55495,14261,85076
16119,14280,85068
71811,14284,85067
53081,14305,85066
27473,14309,85051
87948,14317,85024
81729,14338,85018
3507,14364,85000
77645,14374,84999
4447,14395,84989
56869,14422,84986
35133,14429,84975
9517,14435,84973
25818,14436,84970
83443,14451,84962
55099,14452,84953
59344,14468,84950
47680,81479,84941
22642,14490,84935
77551,14494,84927
75171,14496,84910
56154,2159,84894
5476,75703,84882
81627,14544,84875
42626,14563,84855
2646,14583,84844
88043,14590,84834
52929,14600,84822
60775,14626,84814
93128,14638,84806
19492,14645,84801
35024,14646,84799
33596,14656,84789
4953,14662,84788
55098,14692,84788
9964,43564,84755
13649,14726,84751
42407,14739,84739
57949,14743,84719
84392,14750,84718
75011,14751,84714
21215,14754,84687
28799,14757,84680
98100,14770,84657
62622,14804,84657
27111,33921,84652
3326,14842,84633
58195,14843,84603
9434,17413,84592
13927,14864,84586
77534,14875,84566
54845,99688,84553
74618,83422,84550
23542,14886,84540
57994,14887,84528
5053,14897,84525
18715,14902,84524
80186,14908,84499
89346,14910,84499
7224,14921,84496
60259,14937,84491
63477,14938,84483
78954,86932,84481
27803,14963,84463
19073,7310,84436
13596,11424,84429
4976,3070,84428
62343,14997,84408
90997,14999,84396
23293,15007,84384
24815,15010,84378
79987,15020,84372
86322,15033,84362
57697,34265,84358
42972,15048,84347
20729,15050,84327
5051,15053,84320
56154,15068,84292
21746,15072,84286
4636,15086,84269
95306,15098,84261
44442,15101,84259
83628,15101,84246
60065,15110,84201
10763,15112,84201
86073,15120,84193
98585,20480,84184
90016,15124,84184
